no,title,date,attach_local,attach_orig
106,CM Education for Construction-related Public Servants in North Gyeongsang Province,2015/09/24,150710.jpg,150710.jpg
105,"MOU Signing by CMAK, Korean Professional Engineer Association and Korea Institute of Const",2015/09/24,150709.jpg,150709.jpg
104,Presentation on “Current Status of Southeast Asian Construction Market and Measures for CM Mark,2015/09/24,150702.jpg,150702.jpg
103,Korea-Indonesia Construction Cooperation Meeting,2015/06/27,150529.JPG,150529.JPG
102,Presentation on CM Service Capabilities and Strategies for Enhancing,2015/06/27,,
101,The 18th Construction Management Professional Qualification Examination,2015/06/27,150522.JPG,150522.JPG
100,International Exchange and Cooperation Meeting,2015/05/27,,
99,The 1st Construction VE.LCC Committee Meeting for 2015,2015/05/27,150506.JPG,150506.JPG
98,The 2nd Committee Meeting for 2015,2015/05/27,,
97,The 1st Education and Training Committee Meeting for 2015,2015/05/27,150428.JPG,150428.JPG
96,The 1st Contract Claim Risk Management Committee Meeting for 2015,2015/05/27,150422.JPG,150422.JPG
95,CM Performance Review Committee Meeting,2015/05/27,150417.JPG,150417.JPG
94,MOU Signing with Vietnamese Ministry of Construction for Implementation of Korean CM System,2015/05/27,150410.jpg,150410.jpg
93,Invited Lecture by Construction Policy Director of MOLIT,2015/05/27,150402.jpg,150402.jpg
92,The 18th CMAK Annual General Meeting,2015/03/17,20150309-2.jpg,20150309-2.jpg
91,ConsMa and the 5th &quot;International CM Day&quot; Event,2015/03/17,20150309-1.jpg,20150309-1.jpg
90,"2015 Defence Facilities Division""s Plans for Defence Facility Projects and Construction Economy",2015/03/17,20150209.jpg,20150209.jpg
89,Meeting with Vietnamese Ambassador Pham Huu Chi,2015/03/17,20150205.jpg,20150205.jpg
88,Interim Briefing Session on the 2nd Year of CM Implementation Project in Cambodia,2015/03/17,20150116.JPG,20150116.JPG
87,2015 CM Proficiency Assessment and Public Announcement,2015/03/17,20141217.jpg,20141217.jpg
86,"The 10th CM Practitioners"" Night",2015/03/17,20141211.jpg,20141211.jpg
85,The 2nd Committee Meeting for 2014,2015/03/17,,
84,The 6th [Diagnosis of Issues in CM Categories] Presentation,2015/03/17,20141204.JPG,20141204.JPG
83,The 9th CM Slogan Competition,2015/03/17,,
82,"Sri Lanka, the Third Country for CM Export",2014/11/14,141106.jpg,141106.jpg
81,The 13th CM Professionals Field Trip Discussion Meeting,2014/11/14,141031.jpg,141031.jpg
80,The 2nd Research Committee Meeting for 2014,2014/11/14,141030.JPG,141030.JPG
79,Seminar on Strategies for New CM Market Creation,2014/11/14,141023.jpg,141023.jpg
78,The 2nd Contract Claim Risk Management Committee Meeting for 2014,2014/11/14,141022.JPG,141022.JPG
77,The 2nd VE.LCC Committee Meeting for 2014,2014/11/14,141014.JPG,141014.JPG
76,The 17th Construction Management Professional Qualification Examination,2014/11/14,140928.JPG,140928.JPG
75,The 4th Overseas CM Supply Support Committee Meeting,2014/11/14,140922.jpg,140922.jpg
74,CM Training in Gyeong-Gi Province,2014/11/14,140918.jpg,140918.jpg
73,Korea type CM to be Supplied to Myanmar Construction Market,2014/10/22,140905.jpg,140905.jpg
72,"Invited Lecture by Construction Policy Director of Ministry of Land, Infrastructure and Transpo",2014/10/22,140829.jpg,140829.jpg
71,2014 Official Construction Management (CM) Performance Evaluation Results,2014/09/02,,
70,"On-site CM Meeting at KOTITI Testing and Research Institute, Gangnam",2014/09/02,140828.jpg,140828.jpg
69,Korea-Cambodia CM Conference,2014/09/02,140822.jpg,140822.jpg
68,CM Training in Busan Metropolitan City office of Education,2014/09/02,140723.jpg,140723.jpg
67,The 1st Research Committee Meeting,2014/09/02,,
66,CM Education in Gyeongsangbuk-do,2014/09/02,140710.jpg,140710.jpg
65,The 1st Construction Information Committee Meeting,2014/09/02,,
64,On-site Meeting at Seafood Wholesale Market CM project in Noryangjin,2014/09/02,140709.jpg,140709.jpg
63,The 1st CM Future Strategy Special Committee Meeting,2014/09/02,,
62,CM Education in Busan,2014/09/02,140702.jpg,140702.jpg
61,The 1st Construction VE/LCC Committee Meeting,2014/09/02,,
60,The 1st Education and Training Committee Meeting,2014/09/02,,
59,Seminar on Changes in Construction Markets and CM Development Directions,2014/09/02,140611.JPG,140611.JPG
58,IPMA Event on Project Management in Hong Kong,2014/07/16,26July2014_IPMA_Event.pdf,26July2014_IPMA_Event.pdf
57,The 3rd Overseas CM Supply Support Committee Meeting,2014/05/30,20140529.JPG,20140529.JPG
56,Enforcement of Construction Technology Promotion Laws,2014/05/30,,
55,Launch of the new CMAK committees,2014/05/30,,
